"","Pverr_006","Pverr_007","Pverr_008","Pverr_009","Pverr_106","Pverr_108","Pverr_110","Pverr_112"
"Pver_gene_g2553",0,7,23,11,36,21,48,59
"Pver_gene_g13962",335,329,485,227,65,25,19,56
"Pver_gene_g13963",150,166,186,146,78,11,40,47
"Pver_gene_g13966",0,17,16,0,75,31,84,33
"Pver_gene_g13964",13,22,50,37,118,52,59,145
"Pver_gene_g15497",0,30,30,29,319,55,149,202
"Pver_gene_g12613",0,0,0,0,61,153,228,122
"Pver_gene_g12615",0,0,0,0,22,54,89,61
"Pver_gene_g12614",0,0,0,0,46,47,66,49
"Pver_gene_g477",70,132,98,81,392,55,126,412
"Pver_gene_g474",87,138,149,80,52,0,17,17
"Pver_gene_g478",50,42,61,56,0,0,10,0
"Pver_gene_g10619",16,27,27,19,0,0,0,0
"Pver_gene_g10618",74,212,257,271,518,269,460,562
"Pver_gene_g10613",0,0,0,0,42,15,44,39
"Pver_gene_g14723",462,645,837,478,377,183,183,423
"Pver_gene_g14724",248,190,135,145,33,14,43,29
"Pver_gene_g1837",583,876,1246,678,405,134,334,616
"Pver_gene_g6628",138,162,228,121,36,15,37,41
"Pver_gene_g6627",22,105,105,111,49,6,39,43
"Pver_gene_g8578",0,0,50,0,7151,1357,2640,7236
"Pver_gene_g8575",829,794,1066,795,727,241,368,655
"Pver_novel_gene_14_5de57afd",0,0,0,0,75,33,51,75
"Pver_gene_g22858",11,65,94,71,889,105,206,614
"Pver_gene_g22859",88,90,94,54,47,11,20,4
"Pver_gene_g22852",0,35,46,12,769,345,376,1131
"Pver_gene_g22853",0,0,0,0,80,19,65,47
"Pver_gene_g22856",122,181,71,74,48,10,28,0
"Pver_gene_g22855",65,41,74,59,328,34,112,358
"Pver_gene_g9624",21,23,21,10,85,13,44,57
"Pver_gene_g7282",73,71,112,66,357,65,84,451
"Pver_gene_g5623",0,0,0,0,12,11,20,23
"Pver_gene_g5621",0,13,13,0,94,49,59,100
"Pver_novel_gene_187_5de57afd",2090,2273,3107,2129,665,258,158,349
"Pver_gene_g2399",2288,2582,2914,2356,276,70,223,359
"Pver_gene_g2392",0,0,0,0,195,64,111,224
"Pver_gene_g2393",0,16,0,3,110,46,61,115
"Pver_gene_g2390",0,0,0,0,115,75,103,116
"Pver_gene_g2391",0,0,0,0,69,60,32,79
"Pver_gene_g2397",7,23,0,0,164,28,30,160
"Pver_gene_g3117",0,0,24,0,332,83,208,299
"Pver_gene_g3119",38,58,70,64,10,0,21,0
"Pver_gene_g3118",783,1053,1175,672,381,179,298,506
"Pver_gene_g16118",0,0,0,0,110,19,41,93
"Pver_gene_g16119",0,0,0,0,53,21,19,50
"Pver_gene_g16117",0,0,0,0,560,277,347,637
"Pver_gene_g18608",0,0,0,0,326,129,391,702
"Pver_gene_g18609",301,592,765,442,1062,338,734,1455
"Pver_gene_g18606",84,243,204,184,0,0,0,14
"Pver_gene_g18607",0,14,0,8,89,19,52,122
"Pver_gene_g25821",27,24,11,32,438,356,265,361
"Pver_gene_g25826",400,301,453,334,280,72,127,372
"Pver_gene_g25825",345,600,552,352,1521,702,1038,2099
"Pver_gene_g25829",1067,962,702,388,66,74,81,93
"Pver_gene_g10451",35,53,55,31,569,140,215,539
"Pver_gene_g12969",209,94,180,111,45,41,48,58
"Pver_gene_g14608",53,95,74,61,20,0,10,0
"Pver_gene_g4232",644,534,595,342,125,69,114,133
"Pver_gene_g4230",0,0,0,5,78,95,133,86
"Pver_gene_g16936",0,0,0,0,28,12,61,13
"Pver_gene_g16937",0,16,55,31,7209,1495,2154,6957
"Pver_gene_g16934",0,0,0,0,198,13,188,184
"Pver_gene_g16935",0,0,0,0,408,24,496,448
"Pver_gene_g13378",794,865,1069,876,4592,963,1298,4454
"Pver_gene_g13377",0,0,12,0,706,222,205,990
"Pver_gene_g13376",0,0,0,0,125,28,55,79
"Pver_gene_g965",185,227,303,243,42,15,42,38
"Pver_gene_g961",89,76,61,71,21,0,0,0
"Pver_gene_g963",110,60,116,85,43,20,51,64
"Pver_gene_g12137",0,0,0,0,99,31,30,63
"Pver_gene_g12138",26,0,72,0,5110,1249,1794,4949
"Pver_gene_g11447",0,29,12,0,92,113,141,77
"Pver_gene_g11448",18,42,38,13,159,139,188,103
"Pver_gene_g15353",0,0,0,0,121,22,52,118
"Pver_gene_g15352",0,0,0,0,220,188,179,271
"Pver_gene_g15351",0,30,10,15,256,109,90,128
"Pver_gene_g15357",0,27,22,16,217,34,43,150
"Pver_novel_gene_697_5de57afd",0,0,0,0,53,12,13,32
"Pver_gene_g154",206,116,187,141,0,0,32,42
"Pver_gene_g156",0,65,152,51,10158,1872,3493,10477
"Pver_gene_g159",28,56,49,37,160,39,129,224
"Pver_gene_g158",1251,1052,1514,901,642,465,256,516
"Pver_gene_g7856",349,340,459,400,132,104,194,140
"Pver_gene_g7857",61,44,49,50,266,49,135,229
"Pver_gene_g7854",0,0,0,0,58,23,50,23
"Pver_gene_g7852",69,67,110,94,3507,749,861,4492
"Pver_gene_g7853",113,70,97,71,44,9,58,18
"Pver_gene_g7850",122,146,141,70,34,13,42,20
"Pver_gene_g9981",1009,1216,1558,965,580,87,413,464
"Pver_gene_g7584",43,26,44,15,215,59,75,129
"Pver_gene_g6455",23,13,26,27,746,102,89,686
"Pver_gene_g7329",0,0,0,0,20,14,27,51
"Pver_gene_g7321",0,0,0,0,28,12,14,47
"Pver_gene_g1867",138,115,178,122,80,25,64,27
"Pver_gene_g1861",1765,2170,2234,1404,525,187,234,381
"Pver_gene_g1863",0,0,0,0,16,24,11,25
"Pver_gene_g1862",0,0,16,6,217,66,115,350
"Pver_gene_g1243",172,149,194,145,35,14,10,64
"Pver_gene_g1245",156,144,295,148,1104,305,276,1145
"Pver_gene_g1246",148,215,219,125,57,25,25,100
"Pver_gene_g9477",285,385,605,454,246,14,96,319
"Pver_gene_g9474",131,105,99,77,69,14,46,67
"Pver_gene_g9472",23,38,21,24,101,14,35,130
"Pver_gene_g99",256,393,474,205,87,8,106,78
"Pver_gene_g4749",0,22,20,27,111,29,100,65
"Pver_gene_g4743",0,0,0,0,44,15,22,53
"Pver_gene_g4742",75,27,75,42,0,6,0,0
"Pver_gene_g4740",272,401,537,271,57,50,60,32
"Pver_gene_g4747",56,75,75,63,30,16,28,37
"Pver_gene_g4746",490,689,918,552,1432,561,550,1775
"Pver_gene_g4744",184,217,209,143,148,28,50,81
"Pver_gene_g26098",91,80,115,76,23,11,42,19
"Pver_gene_g26099",0,0,16,7,68,14,53,75
"Pver_gene_g26097",49,79,60,40,1452,482,820,1282
"Pver_gene_g16484",48,25,32,38,103,178,371,91
"Pver_gene_g16485",1002,1019,1101,695,49,0,18,18
"Pver_gene_g2741",0,0,0,0,523,202,178,610
"Pver_gene_g2743",118,117,142,61,30,17,32,68
"Pver_gene_g3834",236,524,575,352,774,411,443,845
"Pver_gene_g3836",216,337,394,348,82,27,99,62
"Pver_gene_g3838",0,0,0,0,196,24,131,156
"Pver_gene_g12335",19,31,47,28,0,0,0,0
"Pver_gene_g12483",1104,1239,1508,1254,8822,1438,4214,11177
"Pver_gene_g12484",825,616,522,523,2986,858,1463,3955
"Pver_gene_g11680",62,87,28,36,310,170,145,207
"Pver_gene_g16301",0,0,0,0,44,108,143,44
"Pver_gene_g16304",1074,1269,1441,1221,811,133,223,568
"Pver_gene_g18414",68,82,67,86,18,17,35,30
"Pver_gene_g10224",0,0,0,0,53,15,36,114
"Pver_gene_g10226",94,114,122,87,202,66,135,228
"Pver_gene_g10220",872,1183,1385,978,155,39,227,143
"Pver_gene_g10221",170,204,271,138,79,15,68,65
"Pver_gene_g10223",184,231,274,144,83,41,147,112
"Pver_gene_g15761",43,105,99,71,296,45,92,276
"Pver_gene_g15766",0,75,67,31,404,81,175,315
"Pver_gene_g15767",0,0,0,0,54,67,44,40
"Pver_gene_g15765",253,127,119,107,24,0,5,19
"Pver_gene_g17949",79,146,213,228,1175,232,361,862
"Pver_gene_g14417",0,44,20,12,100,55,63,64
"Pver_gene_g1447",283,224,238,180,100,37,104,124
"Pver_gene_g3254",89,90,105,128,907,229,469,1287
"Pver_gene_g3672",70,169,136,89,59,27,34,116
"Pver_gene_g3670",0,6,0,0,70,11,20,47
"Pver_gene_g3671",82,168,183,93,65,43,26,48
"Pver_gene_g3677",295,248,313,205,229,72,111,239
"Pver_gene_g18257",147,272,220,202,47,8,62,34
"Pver_gene_g5312",112,136,184,98,7,3,8,16
"Pver_gene_g9130",0,0,0,0,73,29,52,93
"Pver_gene_g23104",13,25,29,12,0,0,0,0
"Pver_gene_g23108",0,0,0,0,49,27,30,30
"Pver_gene_g4959",0,0,0,0,100,47,54,91
"Pver_gene_g14239",6,0,23,21,203,91,140,237
"Pver_gene_g14231",46,93,119,40,52,9,39,47
"Pver_gene_g19644",54,42,61,24,11,0,16,0
"Pver_gene_g12698",275,328,536,340,135,0,56,157
"Pver_gene_g12692",186,168,335,191,42,0,73,28
"Pver_gene_g12697",313,497,590,464,127,25,245,78
"Pver_gene_g12695",61,192,126,93,254,95,212,235
"Pver_gene_g12694",308,226,271,126,2094,474,764,1858
"Pver_gene_g10929",71,47,45,49,133,35,96,161
"Pver_gene_g10928",0,0,0,0,62,40,72,104
"Pver_gene_g10926",48,35,39,36,92,27,56,118
"Pver_gene_g10925",0,0,0,0,30,23,85,97
"Pver_gene_g10696",55,97,122,67,15,28,8,35
"Pver_gene_g11345",78,42,22,44,20,0,15,20
"Pver_gene_g13276",0,15,20,0,441,234,390,419
"Pver_gene_g13277",0,0,0,0,35,15,18,95
"Pver_gene_g13275",0,14,0,0,257,81,407,349
"Pver_gene_g13279",0,12,0,0,222,65,84,73
"Pver_gene_g2840",185,101,138,79,0,0,0,0
"Pver_gene_g9817",0,0,0,0,90,77,25,55
"Pver_gene_g9810",421,345,376,335,199,76,115,225
"Pver_gene_g9813",16,6,37,40,291,71,79,338
"Pver_gene_g14590",0,0,0,0,121,36,122,144
"Pver_gene_g25765",0,0,7,0,77,25,36,80
"Pver_gene_g25764",108,77,48,49,199,93,178,275
"Pver_gene_g25760",302,189,192,112,31,20,41,0
"Pver_gene_g1431",137,108,120,68,52,34,37,93
"Pver_gene_g8257",0,0,0,0,53,78,68,76
"Pver_gene_g8256",644,942,960,504,30,8,53,72
"Pver_gene_g8251",0,19,18,11,50,30,50,57
"Pver_gene_g8253",0,0,0,0,161,34,13,77
"Pver_gene_g8259",94,88,85,84,16,5,15,2
"Pver_gene_g8258",410,538,574,331,96,20,77,117
"Pver_gene_g26448",94,150,141,139,86,42,85,116
"Pver_gene_g5844",179,147,149,103,69,39,49,65
"Pver_gene_g5843",16,42,27,18,104,86,129,111
"Pver_gene_g5841",0,0,0,0,92,32,42,111
"Pver_gene_g5848",0,0,0,0,16,16,14,141
"Pver_gene_g7990",17,69,43,79,0,0,0,0
"Pver_gene_g9125",26,12,29,7,71,107,80,88
"Pver_gene_g7906",119,58,103,107,35,21,50,25
"Pver_gene_g2369",232,202,242,152,51,49,42,77
"Pver_gene_g2866",0,0,28,0,157,34,79,91
"Pver_gene_g2868",388,321,310,344,113,23,87,134
"Pver_gene_g6348",0,0,0,0,161,414,377,189
"Pver_gene_g3193",104,117,158,56,64,24,52,73
"Pver_gene_g3739",0,0,5,0,161,28,62,203
"Pver_gene_g3732",0,0,0,0,138,110,145,288
"Pver_gene_g1771",0,14,17,0,66,14,47,49
"Pver_gene_g4853",0,0,0,0,112,31,82,106
"Pver_gene_g4852",75,45,53,51,203,49,92,191
"Pver_gene_g4851",0,0,0,0,75,21,18,39
"Pver_gene_g4850",0,11,16,0,336,49,87,258
"Pver_gene_g26166",0,0,22,0,305,62,97,239
"Pver_gene_g26169",0,17,15,4,65,36,73,67
"Pver_gene_g5109",75,142,136,83,62,10,49,49
"Pver_gene_g14861",142,144,113,119,69,26,35,110
"Pver_gene_g2290",0,0,0,0,589,204,256,523
"Pver_gene_g2452",52,40,79,47,209,87,101,237
"Pver_gene_g18813",0,22,18,3,70,21,69,81
"Pver_gene_g13847",54,15,37,0,2398,511,898,2298
"Pver_gene_g13843",0,0,13,0,163,51,73,293
"Pver_gene_g13842",4,0,8,0,118,35,112,202
"Pver_gene_g18819",0,0,0,0,218,141,212,171
"Pver_gene_g13849",390,426,312,287,875,832,703,667
"Pver_gene_g11995",42,16,24,36,0,0,0,0
"Pver_gene_g11994",25,26,23,33,7,0,6,0
"Pver_gene_g11993",348,290,327,187,272,108,145,226
"Pver_gene_g11999",51,63,85,72,239,67,126,282
"Pver_gene_g16104",66,174,154,127,25,0,45,13
"Pver_gene_g229",207,309,363,234,69,31,67,79
"Pver_gene_g228",34,57,27,15,58,35,115,90
"Pver_gene_g222",249,318,355,299,74,47,50,83
"Pver_gene_g1999",161,242,307,211,1354,334,702,2089
"Pver_gene_g10715",0,0,0,0,2709,2420,673,3542
"Pver_gene_g10710",0,0,0,0,4936,1690,2724,4852
"Pver_gene_g10711",236,277,337,194,73,8,14,27
"Pver_gene_g14009",0,0,0,0,56,19,24,73
"Pver_gene_g14004",72,83,79,117,643,203,420,794
"Pver_gene_g14002",0,0,44,0,4818,1042,1979,5014
"Pver_gene_g14003",0,25,36,11,258,76,116,301
"Pver_novel_gene_245_5de57afd",0,0,0,0,28,33,48,47
"Pver_novel_gene_546_5de57afd",0,0,0,0,51,13,68,100
"Pver_gene_g8439",0,0,0,0,77,17,48,63
"Pver_gene_g25591",22,16,24,24,137,68,58,231
"Pver_gene_g9747",0,0,0,0,137,16,43,125
"Pver_gene_g6921",67,144,182,136,42,0,36,36
"Pver_gene_g6923",0,21,15,18,210,78,69,273
"Pver_gene_g8193",0,5,0,4,71,20,29,104
"Pver_gene_g17129",253,397,547,355,205,52,75,118
"Pver_gene_g17123",75,117,189,61,86,23,19,44
"Pver_gene_g17120",202,181,177,127,392,184,381,425
"Pver_gene_g17121",95,77,117,78,23,9,19,8
"Pver_gene_g17126",0,0,0,0,55,17,17,20
"Pver_gene_g17127",527,416,442,305,113,61,84,131
"Pver_gene_g17125",187,171,170,120,95,49,72,94
"Pver_novel_gene_53_5de57afd",0,0,0,0,198,35,29,144
"Pver_gene_g2120",223,270,360,229,74,50,165,86
"Pver_gene_g2123",163,268,177,134,17,33,54,14
"Pver_gene_g2125",0,66,138,69,6366,1301,1993,6397
"Pver_novel_gene_544_5de57afd",0,0,0,0,59,12,24,29
"Pver_gene_g16658",4,17,0,27,146,34,53,132
"Pver_gene_g11608",0,13,0,0,38,20,58,100
"Pver_gene_g16388",881,1025,1173,826,83,0,94,78
"Pver_gene_g25901",0,0,0,0,40,13,17,35
"Pver_gene_g25909",16,52,110,33,601,354,262,905
"Pver_gene_g25908",171,201,253,178,1617,351,774,1325
"Pver_gene_g10559",89,76,117,33,0,10,4,0
"Pver_gene_g10556",0,0,18,0,129,34,127,150
"Pver_gene_g10553",0,0,0,0,144,125,116,187
"Pver_gene_g10550",164,151,300,132,89,27,38,49
"Pver_gene_g18495",208,161,193,138,113,23,81,115
"Pver_gene_g18492",11,19,0,23,166,46,81,193
"Pver_gene_g4463",154,143,131,115,221,147,251,215
"Pver_gene_g4466",28,9,48,17,249,13,78,276
"Pver_gene_g4465",0,0,32,0,1077,148,1473,1123
"Pver_gene_g13146",0,0,0,0,37,38,69,177
"Pver_gene_g13147",0,0,8,0,216,87,98,192
"Pver_gene_g13148",289,181,374,130,4872,1563,1975,5770
"Pver_gene_g5736",229,254,295,130,94,28,59,71
"Pver_gene_g13658",0,0,0,0,147,25,109,123
"Pver_gene_g17544",28,78,140,87,37,18,30,39
"Pver_gene_g586",28,26,32,19,82,9,45,140
"Pver_novel_gene_265_5de57afd",2,22,5,7,29,15,41,62
"Pver_gene_g6718",0,0,0,0,62,18,38,71
"Pver_gene_g6712",42,78,73,32,0,0,13,0
"Pver_gene_g3541",511,624,902,646,608,122,199,777
"Pver_gene_g6716",25,13,32,12,0,0,0,10
"Pver_gene_g6717",42,56,68,84,798,178,385,841
"Pver_gene_g7049",655,549,748,497,241,67,102,258
"Pver_gene_g7047",185,159,217,151,78,40,101,97
"Pver_gene_g22922",178,152,135,101,37,0,9,8
"Pver_gene_g1947",0,0,0,0,69,67,93,118
"Pver_gene_g9531",101,187,232,109,42,47,47,63
"Pver_gene_g9537",373,661,672,535,41,8,39,20
"Pver_gene_g9534",58,51,77,67,58,8,30,24
"Pver_gene_g9539",51,63,63,22,0,0,9,0
"Pver_gene_g16874",0,0,0,0,755,228,486,1135
"Pver_gene_g1050",365,594,561,407,136,160,88,194
"Pver_gene_g1051",24,23,62,35,244,46,118,213
"Pver_gene_g1056",0,0,20,0,863,59,419,1389
"Pver_gene_g26355",120,103,126,54,0,0,0,0
"Pver_gene_g26357",284,303,331,147,163,21,120,142
"Pver_gene_g26356",970,1241,1075,886,20,25,30,19
"Pver_gene_g2624",0,24,5,3,57,44,15,99
"Pver_gene_g2629",0,0,0,0,73,94,51,74
"Pver_gene_g5536",0,12,0,0,37,16,42,48
"Pver_gene_g5532",0,0,0,0,133,11,125,215
"Pver_gene_g5539",27,61,57,51,412,46,68,280
"Pver_gene_g2082",272,400,357,205,106,91,175,115
"Pver_gene_g2083",104,90,147,88,40,7,14,17
"Pver_gene_g3971",138,179,240,157,190,45,93,118
"Pver_gene_g3975",0,0,0,0,35,26,14,70
"Pver_gene_g3977",0,59,40,0,224,83,290,264
"Pver_gene_g22905",0,0,0,0,69,73,125,139
"Pver_gene_g12565",25,11,9,0,116,30,66,199
"Pver_gene_g12563",0,5,0,11,35,17,69,60
"Pver_gene_g12562",121,121,120,68,42,23,40,25
"Pver_novel_gene_454_5de57afd",14,67,76,80,595,290,324,821
"Pver_gene_g3028",45,78,102,28,165,77,161,219
"Pver_gene_g16027",0,0,0,0,103,17,38,157
"Pver_gene_g13761",0,0,0,3,397,49,115,422
"Pver_gene_g13762",209,369,399,271,0,0,0,0
"Pver_gene_g13763",0,0,0,0,291,50,51,384
"Pver_gene_g248",0,0,0,0,14,20,27,24
"Pver_gene_g15640",203,184,167,150,48,30,46,30
"Pver_gene_g15643",139,89,118,112,7,0,0,7
"Pver_gene_g15642",229,186,247,218,567,203,326,620
"Pver_gene_g14024",0,0,0,0,225,64,116,258
"Pver_gene_g10073",576,722,834,522,347,124,137,300
"Pver_gene_g4349",65,106,152,113,68,0,23,33
"Pver_gene_g4348",90,67,82,33,503,80,142,525
"Pver_gene_g4347",42,31,30,0,221,43,141,274
"Pver_gene_g11859",0,0,0,0,62,45,84,90
"Pver_gene_g11857",0,14,0,9,41,23,96,92
"Pver_gene_g11851",86,24,90,39,16,0,0,4
"Pver_gene_g12003",215,299,240,221,61,22,26,134
"Pver_gene_g12000",67,82,60,28,0,0,0,0
"Pver_gene_g12001",0,11,18,0,261,178,659,405
"Pver_gene_g12009",0,0,0,0,305,409,233,418
"Pver_gene_g938",188,134,183,219,84,39,113,116
"Pver_gene_g8833",82,126,176,120,1320,487,425,1072
"Pver_gene_g8838",160,213,262,110,0,0,24,0
"Pver_novel_gene_471_5de57afd",4,5,0,0,551,221,436,743
"Pver_gene_g2012",155,204,195,161,625,205,228,446
"Pver_gene_g6694",44,31,40,30,104,109,214,137
"Pver_gene_g6693",602,789,926,556,254,162,386,241
"Pver_gene_g6692",213,260,357,215,253,70,64,158
"Pver_gene_g9878",185,137,120,103,516,214,178,575
"Pver_gene_g9879",138,155,155,106,95,34,36,64
"Pver_gene_g9877",73,129,52,67,408,246,190,456
"Pver_gene_g9875",0,0,0,11,251,69,78,350
"Pver_gene_g6525",18,26,53,18,0,0,8,0
"Pver_gene_g22889",623,822,1301,840,504,153,139,461
"Pver_gene_g22888",102,163,208,104,54,24,62,91
"Pver_gene_g22886",325,472,381,307,101,60,60,136
"Pver_gene_g18062",63,50,56,42,11,0,21,25
"Pver_gene_g18063",0,0,12,0,90,70,98,65
"Pver_gene_g18067",154,132,202,104,69,45,28,75
"Pver_gene_g8589",137,67,74,41,45,6,39,38
"Pver_gene_g8581",402,374,436,354,35,18,27,8
"Pver_gene_g10807",0,0,0,0,68,12,22,69
"Pver_gene_g8052",96,89,82,85,66,19,57,86
"Pver_gene_g8057",285,321,284,208,149,33,119,226
"Pver_gene_g8054",0,24,16,8,54,15,70,74
"Pver_gene_g22906",0,0,0,0,90,15,35,27
"Pver_gene_g19850",0,0,0,0,2536,455,932,2570
"Pver_gene_g19852",74,132,131,63,55,22,39,29
"Pver_gene_g5182",70,77,151,65,44,0,11,0
"Pver_gene_g5180",0,0,0,0,23,11,25,65
"Pver_gene_g5186",804,973,1025,704,799,276,427,1011
"Pver_gene_g4587",171,243,240,135,462,163,179,327
"Pver_gene_g9794",0,24,27,0,149,57,71,221
"Pver_gene_g11915",3497,4405,4907,3182,2512,781,1669,2578
"Pver_gene_g11914",18,26,49,21,175,37,43,136
"Pver_gene_g11913",0,0,0,0,37,54,62,57
"Pver_gene_g15025",52,59,92,57,285,109,144,239
"Pver_gene_g15026",315,407,459,320,2125,328,685,1890
"Pver_gene_g15021",2227,3226,2771,1800,1714,598,729,1248
"Pver_gene_g12248",140,222,299,295,184,47,109,160
"Pver_gene_g12249",105,106,71,54,0,0,0,0
"Pver_gene_g12241",35,65,77,39,105,164,62,169
"Pver_gene_g12247",73,76,102,90,39,16,42,18
"Pver_gene_g14374",0,0,0,0,209,79,81,236
"Pver_gene_g14375",0,0,0,0,69,126,77,34
"Pver_gene_g14373",69,61,83,72,400,159,217,433
"Pver_gene_g17545",18,0,0,9,113,12,119,155
"Pver_gene_g12795",254,240,312,184,202,69,102,207
"Pver_gene_g12790",184,183,205,210,53,22,28,64
"Pver_gene_g10791",0,0,0,0,99,17,29,79
"Pver_gene_g10792",58,18,34,72,1059,163,253,897
"Pver_gene_g10793",0,0,0,0,27,18,16,25
"Pver_gene_g14081",567,869,913,664,137,39,100,197
"Pver_gene_g11266",122,102,111,61,58,10,43,10
"Pver_gene_g11260",33,29,33,26,419,348,265,571
"Pver_gene_g13686",52,127,100,83,0,6,22,33
"Pver_gene_g7633",0,0,0,0,48,20,102,47
"Pver_gene_g7631",311,387,454,381,89,19,43,115
"Pver_gene_g749",278,246,332,198,96,17,66,63
"Pver_gene_g745",509,727,718,566,1261,478,695,1155
"Pver_gene_g746",201,168,243,107,85,32,65,55
"Pver_gene_g8110",41,56,42,60,114,48,74,89
"Pver_gene_g8111",67,38,90,53,587,128,155,486
"Pver_gene_g8117",462,618,733,465,191,90,207,257
"Pver_gene_g5960",0,0,10,0,68,30,40,115
"Pver_gene_g9244",0,0,0,0,375,178,215,562
"Pver_gene_g9247",146,89,181,128,880,250,385,716
"Pver_novel_gene_784_5de57afd",27,24,41,15,11,3,3,7
"Pver_gene_g9936",107,153,193,78,708,241,548,843
"Pver_gene_g6226",42,79,121,63,242,94,108,364
"Pver_gene_g6224",0,0,23,19,195,38,182,184
"Pver_gene_g6225",0,0,0,0,32,13,17,28
"Pver_gene_g25988",5,6,14,10,68,9,26,61
"Pver_gene_g25987",8,0,7,0,1143,309,360,1146
"Pver_gene_g25986",445,934,1425,824,289,53,84,372
"Pver_gene_g19271",117,237,261,184,43,4,11,21
"Pver_gene_g3475",45,12,35,22,0,0,0,0
"Pver_gene_g3473",161,236,177,197,15,13,6,17
"Pver_gene_g7570",66,23,11,7,656,177,229,525
"Pver_gene_g7577",204,254,338,169,1203,760,596,931
"Pver_gene_g7576",124,167,123,158,742,255,462,1007
"Pver_gene_g20853",0,0,0,0,46,19,20,36
"Pver_gene_g4178",0,0,0,0,263,230,324,446
"Pver_gene_g4179",531,673,913,461,55,0,0,31
"Pver_gene_g4173",59,53,34,26,0,0,0,0
"Pver_gene_g4176",0,0,6,0,802,844,626,1517
"Pver_gene_g23280",653,645,619,422,681,121,345,547
"Pver_gene_g23282",415,407,519,382,42,0,54,0
"Pver_gene_g4798",744,1018,1446,839,484,181,293,451
"Pver_gene_g4794",0,0,96,24,10328,2045,3409,9568
"Pver_gene_g4797",573,661,765,526,578,139,209,470
"Pver_gene_g4790",10814,17160,19330,13125,55,23,25,31
"Pver_gene_g4792",409,284,292,184,1278,546,687,1641
"Pver_gene_g26043",0,0,0,0,106,36,54,98
"Pver_gene_g5225",392,353,425,243,109,8,24,41
"Pver_gene_g5223",14232,13020,17870,12305,87,0,81,69
"Pver_gene_g5222",39,15,26,8,138,15,60,77
"Pver_gene_g16551",113,112,90,124,68,19,37,75
"Pver_gene_g2691",12,29,28,12,0,0,2,0
"Pver_gene_g17366",0,0,0,0,530,139,519,705
"Pver_gene_g2797",122,112,149,75,8,6,0,41
"Pver_gene_g2799",0,0,0,0,142,26,71,69
"Pver_gene_g2241",0,0,0,0,29,28,28,42
"Pver_gene_g2242",0,7,73,9,6386,1887,3434,5510
"Pver_gene_g2245",204,173,201,104,48,0,29,34
"Pver_gene_g12459",0,6,0,0,44,52,67,32
"Pver_gene_g12450",0,0,0,0,52,30,52,18
"Pver_gene_g19",190,239,421,281,77,27,57,220
"Pver_gene_g11",0,0,40,0,5048,912,1470,5001
"Pver_gene_g10",37,57,82,54,97,78,118,113
"Pver_gene_g12",0,12,16,0,99,39,41,124
"Pver_gene_g14122",295,388,466,369,227,81,150,257
"Pver_gene_g13473",0,12,10,0,32,40,113,78
"Pver_gene_g13475",40,96,69,34,444,80,302,442
"Pver_gene_g275",0,0,0,0,23,16,70,24
"Pver_gene_g6029",24,26,11,20,78,14,45,75
"Pver_gene_g6021",72,62,48,66,28,0,19,32
"Pver_gene_g6796",45,63,77,16,208,38,90,189
"Pver_gene_g7777",0,0,0,4,279,99,91,280
"Pver_gene_g1327",184,139,91,63,0,0,0,0
"Pver_gene_g1322",166,132,126,100,85,35,71,53
"Pver_gene_g5113",0,0,0,0,33,18,40,56
"Pver_gene_g8321",222,168,166,127,119,68,86,114
"Pver_gene_g8320",0,24,17,19,67,44,72,76
"Pver_gene_g8324",68,203,266,242,2430,484,781,2328
"Pver_gene_g8327",0,0,0,0,53,52,64,122
"Pver_gene_g17008",0,0,0,0,133,33,36,68
"Pver_gene_g17005",299,324,410,272,161,60,105,115
"Pver_gene_g16753",0,0,0,0,20,17,25,75
"Pver_gene_g2914",21,47,57,38,0,0,0,0
"Pver_gene_g2911",164,378,335,181,81,45,60,188
"Pver_gene_g2913",206,475,481,287,107,40,32,66
"Pver_gene_g10345",0,0,0,0,134,67,101,139
"Pver_gene_g10340",0,0,9,0,112,29,66,149
"Pver_gene_g12859",124,248,208,147,75,41,68,43
"Pver_gene_g12854",0,0,19,0,3293,664,917,2890
"Pver_gene_g12853",0,0,0,0,78,24,55,80
"Pver_gene_g12852",0,0,0,0,13,18,20,14
"Pver_gene_g393",165,131,130,149,28,0,8,0
"Pver_gene_g13407",39,40,28,21,177,97,133,164
"Pver_gene_g14793",0,0,7,0,28,19,32,13
"Pver_gene_g13067",335,370,614,287,396,118,159,296
"Pver_gene_g23209",450,637,633,401,1134,543,808,1408
"Pver_gene_g23203",0,0,5,0,58,18,20,38
"Pver_gene_g5074",149,152,238,118,1542,390,843,1401
"Pver_gene_g5070",145,173,175,119,1349,316,604,1259
"Pver_novel_gene_124_5de57afd",143,242,219,201,161,29,97,86
"Pver_gene_g13930",154,229,114,124,783,250,322,628
"Pver_gene_g12085",0,0,0,0,75,50,76,55
"Pver_gene_g12083",107,210,132,99,371,89,183,342
"Pver_gene_g12081",0,26,18,0,179,12,102,202
"Pver_gene_g15199",188,156,188,145,12,7,8,19
"Pver_gene_g15195",0,0,17,0,64,87,125,86
"Pver_gene_g15194",36,56,55,52,163,309,308,267
"Pver_gene_g15197",0,0,0,0,818,460,291,726
"Pver_gene_g15448",0,5,10,11,19,11,24,46
"Pver_gene_g15441",529,541,699,500,3080,580,831,2311
"Pver_gene_g317",329,482,550,357,88,31,111,160
